100_Libre_masc
8,"SUAREZ FERNÁNDEZ, SANTIAGO",11421,"REGUEIRA MOURE, ANDER",13264,6.538271604938272,55.654320987654316,3,"(('PÉREZ LORENZO, MANUEL', 10350.0), ('ALVES RIVAS, CARLOS', 11351.0))","(('GANDARA DIEZ, ADRIAN', 10694.0), ('BOUZA PADRON, ADRIAN', 10762.0))"
9,"PONTON RODRIGUEZ, JUAN",11848,"REGUEIRA MOURE, ANDER",13264,5.831111111111111,42.864197530864196,3,"(('PÉREZ LORENZO, MANUEL', 10350.0), ('ALVES RIVAS, CARLOS', 11351.0))","(('GANDARA DIEZ, ADRIAN', 10694.0), ('BOUZA PADRON, ADRIAN', 10762.0))"
10,"MARTINEZ ARGIZ, DAVID",11934,"REGUEIRA MOURE, ANDER",13264,5.831111111111111,42.864197530864196,3,"(('PÉREZ LORENZO, MANUEL', 10350.0), ('ALVES RIVAS, CARLOS', 11351.0))","(('GANDARA DIEZ, ADRIAN', 10694.0), ('BOUZA PADRON, ADRIAN', 10762.0))"
100_esp_masc
Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
1,"ARIAS FRANCO, ODEI",5932,"PONTON RODRIGUEZ, JUAN",10421,11.0,100.0,9,"(('DAVILA LUSTRES, MANUEL', 5954.0), ('TOME SANLES, MANUEL', 10519.0))","(('MENDEZ PUGA, MARIO', 10033.0), ('BOUZA PADRON, ADRIAN', 10205.0))"
2,"ARIAS FRANCO, ODEI",5932,"PONTON RODRIGUEZ, JAVIER",10570,10.6,99.55555555555556,8,"(('DAVILA LUSTRES, MANUEL', 5954.0), ('TOME SANLES, MANUEL', 10519.0))","(('MENDEZ PUGA, MARIO', 10033.0), ('BOUZA PADRON, ADRIAN', 10205.0))"
3,"ARIAS FRANCO, ODEI",5932,"CONDE VARELA, DAVID",10809,9.8,97.28395061728395,8,"(('DAVILA LUSTRES, MANUEL', 5954.0), ('TOME SANLES, MANUEL', 10519.0))","(('MENDEZ PUGA, MARIO', 10033.0), ('BOUZA PADRON, ADRIAN', 10205.0))"
4,"PONTON RODRIGUEZ, JUAN",10421,"PONTON RODRIGUEZ, JAVIER",10570,8.866666666666667,82.61728395061728,4,"(('DAVILA LUSTRES, MANUEL', 5954.0), ('TOME SANLES, MANUEL', 10519.0))","(('MENDEZ PUGA, MARIO', 10033.0), ('BOUZA PADRON, ADRIAN', 10205.0))"
5,"ARIAS FRANCO, ODEI",5932,"REGUEIRA MOURE, ANDER",11721,8.4,91.65432098765433,8,"(('DAVILA LUSTRES, MANUEL', 5954.0), ('TOME SANLES, MANUEL', 10519.0))","(('MENDEZ PUGA, MARIO', 10033.0), ('BOUZA PADRON, ADRIAN', 10205.0))"
6,"PONTON RODRIGUEZ, JUAN",10421,"CONDE VARELA, DAVID",10809,8.066666666666666,76.04938271604938,4,"(('DAVILA LUSTRES, MANUEL', 5954.0), ('TOME SANLES, MANUEL', 10519.0))","(('MENDEZ PUGA, MARIO', 10033.0), ('BOUZA PADRON, ADRIAN', 10205.0))"
7,"PONTON RODRIGUEZ, JAVIER",10570,"CONDE VARELA, DAVID",10809,7.538271604938272,65.23456790123457,3,"(('DAVILA LUSTRES, MANUEL', 5954.0), ('TOME SANLES, MANUEL', 10519.0))","(('MENDEZ PUGA, MARIO', 10033.0), ('BOUZA PADRON, ADRIAN', 10205.0))"
8,"PONTON RODRIGUEZ, JUAN",10421,"REGUEIRA MOURE, ANDER",11721,6.666666666666667,55.75308641975308,4,"(('DAVILA LUSTRES, MANUEL', 5954.0), ('TOME SANLES, MANUEL', 10519.0))","(('MENDEZ PUGA, MARIO', 10033.0), ('BOUZA PADRON, ADRIAN', 10205.0))"
9,"PONTON RODRIGUEZ, JAVIER",10570,"REGUEIRA MOURE, ANDER",11721,6.1382716049382715,43.65432098765432,3,"(('DAVILA LUSTRES, MANUEL', 5954.0), ('TOME SANLES, MANUEL', 10519.0))","(('MENDEZ PUGA, MARIO', 10033.0), ('BOUZA PADRON, ADRIAN', 10205.0))"
10,"CONDE VARELA, DAVID",10809,"REGUEIRA MOURE, ANDER",11721,5.222222222222222,25.037037037037035,3,"(('DAVILA LUSTRES, MANUEL', 5954.0), ('TOME SANLES, MANUEL', 10519.0))","(('MENDEZ PUGA, MARIO', 10033.0), ('BOUZA PADRON, ADRIAN', 10205.0))"
100_Libre_masc
Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
1,"PONTON RODRIGUEZ, JAVIER",5176,"PONTON RODRIGUEZ, JUAN",5517,11.0,98.81481481481481,8,"(('PÉREZ LORENZO, MANUEL', 5325.0), ('SANLÉS DIESTE, HUGO', 5404.0))","(('MENDEZ PUGA, MARIO', 5271.0), ('ALONSO GATO, OSCAR', 5505.0))"
2,"PONTON RODRIGUEZ, JAVIER",5176,"BALLESTER IBAÑEZ, EDGAR",5536,11.0,98.81481481481481,8,"(('PÉREZ LORENZO, MANUEL', 5325.0), ('SANLÉS DIESTE, HUGO', 5404.0))","(('MENDEZ PUGA, MARIO', 5271.0), ('ALONSO GATO, OSCAR', 5505.0))"
3,"PONTON RODRIGUEZ, JUAN",5517,"BALLESTER IBAÑEZ, EDGAR",5536,9.29037037037037,64.5925925925926,3,"(('PÉREZ LORENZO, MANUEL', 5325.0), ('SANLÉS DIESTE, HUGO', 5404.0))","(('MENDEZ PUGA, MARIO', 5271.0), ('ALONSO GATO, OSCAR', 5505.0))"
4,"PONTON RODRIGUEZ, JAVIER",5176,"CONDE VARELA, DAVID",5881,8.8,71.11111111111111,8,"(('PÉREZ LORENZO, MANUEL', 5325.0), ('SANLÉS DIESTE, HUGO', 5404.0))","(('MENDEZ PUGA, MARIO', 5271.0), ('ALONSO GATO, OSCAR', 5505.0))"
5,"PONTON RODRIGUEZ, JAVIER",5176,"ARIAS FRANCO, ODEI",5941,8.8,71.11111111111111,8,"(('PÉREZ LORENZO, MANUEL', 5325.0), ('SANLÉS DIESTE, HUGO', 5404.0))","(('MENDEZ PUGA, MARIO', 5271.0), ('ALONSO GATO, OSCAR', 5505.0))"
6,"PONTON RODRIGUEZ, JUAN",5517,"CONDE VARELA, DAVID",5881,7.09037037037037,36.79012345679013,3,"(('PÉREZ LORENZO, MANUEL', 5325.0), ('SANLÉS DIESTE, HUGO', 5404.0))","(('MENDEZ PUGA, MARIO', 5271.0), ('ALONSO GATO, OSCAR', 5505.0))"
7,"PONTON RODRIGUEZ, JUAN",5517,"ARIAS FRANCO, ODEI",5941,7.09037037037037,36.79012345679013,3,"(('PÉREZ LORENZO, MANUEL', 5325.0), ('SANLÉS DIESTE, HUGO', 5404.0))","(('MENDEZ PUGA, MARIO', 5271.0), ('ALONSO GATO, OSCAR', 5505.0))"
8,"BALLESTER IBAÑEZ, EDGAR",5536,"CONDE VARELA, DAVID",5881,7.09037037037037,36.79012345679013,3,"(('PÉREZ LORENZO, MANUEL', 5325.0), ('SANLÉS DIESTE, HUGO', 5404.0))","(('MENDEZ PUGA, MARIO', 5271.0), ('ALONSO GATO, OSCAR', 5505.0))"
9,"BALLESTER IBAÑEZ, EDGAR",5536,"ARIAS FRANCO, ODEI",5941,7.09037037037037,36.79012345679013,3,"(('PÉREZ LORENZO, MANUEL', 5325.0), ('SANLÉS DIESTE, HUGO', 5404.0))","(('MENDEZ PUGA, MARIO', 5271.0), ('ALONSO GATO, OSCAR', 5505.0))"
10,"CONDE VARELA, DAVID",5881,"ARIAS FRANCO, ODEI",5941,4.6,9.333333333333334,3,"(('PÉREZ LORENZO, MANUEL', 5325.0), ('SANLÉS DIESTE, HUGO', 5404.0))","(('MENDEZ PUGA, MARIO', 5271.0), ('ALONSO GATO, OSCAR', 5505.0))"
200_Libre_masc
Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
1,"VALCARCE DOMINGUEZ, PABLO",20012,"PONTON RODRIGUEZ, JAVIER",20038,10.297777777777778,91.35802469135803,5,"(('SANLÉS DIESTE, HUGO', 15632.0), ('PÉREZ LORENZO, MANUEL', 15769.0))","(('MENDEZ PUGA, MARIO', 15280.0), ('ALONSO VIDAL, TEO', 20071.0))"
2,"VALCARCE DOMINGUEZ, PABLO",20012,"BALLESTER IBAÑEZ, EDGAR",20615,8.697777777777778,65.33333333333333,4,"(('SANLÉS DIESTE, HUGO', 15632.0), ('PÉREZ LORENZO, MANUEL', 15769.0))","(('MENDEZ PUGA, MARIO', 15280.0), ('ALONSO VIDAL, TEO', 20071.0))"
3,"PONTON RODRIGUEZ, JAVIER",20038,"BALLESTER IBAÑEZ, EDGAR",20615,8.697777777777778,65.33333333333333,4,"(('SANLÉS DIESTE, HUGO', 15632.0), ('PÉREZ LORENZO, MANUEL', 15769.0))","(('MENDEZ PUGA, MARIO', 15280.0), ('ALONSO VIDAL, TEO', 20071.0))"
4,"VALCARCE DOMINGUEZ, PABLO",20012,"CONDE VARELA, DAVID",20973,7.897777777777778,61.03703703703703,4,"(('SANLÉS DIESTE, HUGO', 15632.0), ('PÉREZ LORENZO, MANUEL', 15769.0))","(('MENDEZ PUGA, MARIO', 15280.0), ('ALONSO VIDAL, TEO', 20071.0))"
5,"VALCARCE DOMINGUEZ, PABLO",20012,"PONTON RODRIGUEZ, JUAN",21157,7.897777777777778,61.03703703703703,4,"(('SANLÉS DIESTE, HUGO', 15632.0), ('PÉREZ LORENZO, MANUEL', 15769.0))","(('MENDEZ PUGA, MARIO', 15280.0), ('ALONSO VIDAL, TEO', 20071.0))"
6,"PONTON RODRIGUEZ, JAVIER",20038,"CONDE VARELA, DAVID",20973,7.897777777777778,61.03703703703703,4,"(('SANLÉS DIESTE, HUGO', 15632.0), ('PÉREZ LORENZO, MANUEL', 15769.0))","(('MENDEZ PUGA, MARIO', 15280.0), ('ALONSO VIDAL, TEO', 20071.0))"
7,"PONTON RODRIGUEZ, JAVIER",20038,"PONTON RODRIGUEZ, JUAN",21157,7.897777777777778,61.03703703703703,4,"(('SANLÉS DIESTE, HUGO', 15632.0), ('PÉREZ LORENZO, MANUEL', 15769.0))","(('MENDEZ PUGA, MARIO', 15280.0), ('ALONSO VIDAL, TEO', 20071.0))"
8,"VALCARCE DOMINGUEZ, PABLO",20012,"SUAREZ FERNÁNDEZ, SANTIAGO",21323,7.497777777777777,60.14814814814815,4,"(('SANLÉS DIESTE, HUGO', 15632.0), ('PÉREZ LORENZO, MANUEL', 15769.0))","(('MENDEZ PUGA, MARIO', 15280.0), ('ALONSO VIDAL, TEO', 20071.0))"
9,"PONTON RODRIGUEZ, JAVIER",20038,"SUAREZ FERNÁNDEZ, SANTIAGO",21323,7.497777777777777,60.14814814814815,4,"(('SANLÉS DIESTE, HUGO', 15632.0), ('PÉREZ LORENZO, MANUEL', 15769.0))","(('MENDEZ PUGA, MARIO', 15280.0), ('ALONSO VIDAL, TEO', 20071.0))"
10,"VALCARCE DOMINGUEZ, PABLO",20012,"ARIAS FRANCO, ODEI",21621,7.297777777777778,59.7037037037037,4,"(('SANLÉS DIESTE, HUGO', 15632.0), ('PÉREZ LORENZO, MANUEL', 15769.0))","(('MENDEZ PUGA, MARIO', 15280.0), ('ALONSO VIDAL, TEO', 20071.0))"
200_Estilos_masc
Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
1,"CONDE VARELA, DAVID",21627,"ARIAS FRANCO, ODEI",22234,9.45,90.0,5,"(('PÉREZ LORENZO, MANUEL', 21358.0), ('BRIÓN SAMPEDRO, CARLOS', 23904.0))","(('MENDEZ PUGA, MARIO', 20285.0), ('ALONSO GATO, OSCAR', 21234.0))"
2,"CONDE VARELA, DAVID",21627,"PONTON RODRIGUEZ, JAVIER",22406,8.85,80.0,5,"(('PÉREZ LORENZO, MANUEL', 21358.0), ('BRIÓN SAMPEDRO, CARLOS', 23904.0))","(('MENDEZ PUGA, MARIO', 20285.0), ('ALONSO GATO, OSCAR', 21234.0))"
3,"ARIAS FRANCO, ODEI",22234,"PONTON RODRIGUEZ, JAVIER",22406,8.55,80.0,5,"(('PÉREZ LORENZO, MANUEL', 21358.0), ('BRIÓN SAMPEDRO, CARLOS', 23904.0))","(('MENDEZ PUGA, MARIO', 20285.0), ('ALONSO GATO, OSCAR', 21234.0))"
4,"CONDE VARELA, DAVID",21627,"MARTINEZ ARGIZ, DAVID",23588,8.25,75.0,5,"(('PÉREZ LORENZO, MANUEL', 21358.0), ('BRIÓN SAMPEDRO, CARLOS', 23904.0))","(('MENDEZ PUGA, MARIO', 20285.0), ('ALONSO GATO, OSCAR', 21234.0))"
5,"ARIAS FRANCO, ODEI",22234,"MARTINEZ ARGIZ, DAVID",23588,7.95,75.0,5,"(('PÉREZ LORENZO, MANUEL', 21358.0), ('BRIÓN SAMPEDRO, CARLOS', 23904.0))","(('MENDEZ PUGA, MARIO', 20285.0), ('ALONSO GATO, OSCAR', 21234.0))"
6,"CONDE VARELA, DAVID",21627,"REGUEIRA MOURE, ANDER",25043,7.5,74.28571428571429,4,"(('PÉREZ LORENZO, MANUEL', 21358.0), ('BRIÓN SAMPEDRO, CARLOS', 23904.0))","(('MENDEZ PUGA, MARIO', 20285.0), ('ALONSO GATO, OSCAR', 21234.0))"
7,"ARIAS FRANCO, ODEI",22234,"REGUEIRA MOURE, ANDER",25043,7.2,73.57142857142858,4,"(('PÉREZ LORENZO, MANUEL', 21358.0), ('BRIÓN SAMPEDRO, CARLOS', 23904.0))","(('MENDEZ PUGA, MARIO', 20285.0), ('ALONSO GATO, OSCAR', 21234.0))"
8,"PONTON RODRIGUEZ, JAVIER",22406,"MARTINEZ ARGIZ, DAVID",23588,7.15,75.0,5,"(('PÉREZ LORENZO, MANUEL', 21358.0), ('BRIÓN SAMPEDRO, CARLOS', 23904.0))","(('MENDEZ PUGA, MARIO', 20285.0), ('ALONSO GATO, OSCAR', 21234.0))"
9,"PONTON RODRIGUEZ, JAVIER",22406,"REGUEIRA MOURE, ANDER",25043,6.4,70.0,4,"(('PÉREZ LORENZO, MANUEL', 21358.0), ('BRIÓN SAMPEDRO, CARLOS', 23904.0))","(('MENDEZ PUGA, MARIO', 20285.0), ('ALONSO GATO, OSCAR', 21234.0))"
10,"MARTINEZ ARGIZ, DAVID",23588,"REGUEIRA MOURE, ANDER",25043,5.75,64.28571428571429,4,"(('PÉREZ LORENZO, MANUEL', 21358.0), ('BRIÓN SAMPEDRO, CARLOS', 23904.0))","(('MENDEZ PUGA, MARIO', 20285.0), ('ALONSO GATO, OSCAR', 21234.0))"
200_Braza_masc
Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
1,"CONDE VARELA, DAVID",23443,"SUAREZ FERNÁNDEZ, SANTIAGO",24153,9.044444444444444,76.44444444444444,5,"(('PÉREZ LORENZO, MANUEL', 22432.0), ('MARTINEZ CAMPAÑA, MARIO', 30070.0))","(('MENDEZ PUGA, MARIO', 22270.0), ('BOUZA PADRON, ADRIAN', 22511.0))"
2,"CONDE VARELA, DAVID",23443,"MARTINEZ ARGIZ, DAVID",25669,8.444444444444445,68.44444444444444,5,"(('PÉREZ LORENZO, MANUEL', 22432.0), ('MARTINEZ CAMPAÑA, MARIO', 30070.0))","(('MENDEZ PUGA, MARIO', 22270.0), ('BOUZA PADRON, ADRIAN', 22511.0))"
3,"SUAREZ FERNÁNDEZ, SANTIAGO",24153,"MARTINEZ ARGIZ, DAVID",25669,7.881481481481481,68.44444444444444,5,"(('PÉREZ LORENZO, MANUEL', 22432.0), ('MARTINEZ CAMPAÑA, MARIO', 30070.0))","(('MENDEZ PUGA, MARIO', 22270.0), ('BOUZA PADRON, ADRIAN', 22511.0))"
4,"CONDE VARELA, DAVID",23443,"PONTON RODRIGUEZ, JAVIER",32138,7.377777777777778,65.33333333333333,4,"(('PÉREZ LORENZO, MANUEL', 22432.0), ('MARTINEZ CAMPAÑA, MARIO', 30070.0))","(('MENDEZ PUGA, MARIO', 22270.0), ('BOUZA PADRON, ADRIAN', 22511.0))"
5,"CONDE VARELA, DAVID",23443,"LOSADA TORRES, ISAAC",32288,7.377777777777778,65.33333333333333,4,"(('PÉREZ LORENZO, MANUEL', 22432.0), ('MARTINEZ CAMPAÑA, MARIO', 30070.0))","(('MENDEZ PUGA, MARIO', 22270.0), ('BOUZA PADRON, ADRIAN', 22511.0))"
6,"CONDE VARELA, DAVID",23443,"REGUEIRA MOURE, ANDER",33788,7.044444444444444,63.55555555555556,4,"(('PÉREZ LORENZO, MANUEL', 22432.0), ('MARTINEZ CAMPAÑA, MARIO', 30070.0))","(('MENDEZ PUGA, MARIO', 22270.0), ('BOUZA PADRON, ADRIAN', 22511.0))"
7,"SUAREZ FERNÁNDEZ, SANTIAGO",24153,"PONTON RODRIGUEZ, JAVIER",32138,6.814814814814815,63.70370370370371,4,"(('PÉREZ LORENZO, MANUEL', 22432.0), ('MARTINEZ CAMPAÑA, MARIO', 30070.0))","(('MENDEZ PUGA, MARIO', 22270.0), ('BOUZA PADRON, ADRIAN', 22511.0))"
8,"SUAREZ FERNÁNDEZ, SANTIAGO",24153,"LOSADA TORRES, ISAAC",32288,6.814814814814815,63.70370370370371,4,"(('PÉREZ LORENZO, MANUEL', 22432.0), ('MARTINEZ CAMPAÑA, MARIO', 30070.0))","(('MENDEZ PUGA, MARIO', 22270.0), ('BOUZA PADRON, ADRIAN', 22511.0))"
9,"SUAREZ FERNÁNDEZ, SANTIAGO",24153,"REGUEIRA MOURE, ANDER",33788,6.481481481481482,59.25925925925925,4,"(('PÉREZ LORENZO, MANUEL', 22432.0), ('MARTINEZ CAMPAÑA, MARIO', 30070.0))","(('MENDEZ PUGA, MARIO', 22270.0), ('BOUZA PADRON, ADRIAN', 22511.0))"
10,"MARTINEZ ARGIZ, DAVID",25669,"PONTON RODRIGUEZ, JAVIER",32138,6.0814814814814815,60.14814814814815,4,"(('PÉREZ LORENZO, MANUEL', 22432.0), ('MARTINEZ CAMPAÑA, MARIO', 30070.0))","(('MENDEZ PUGA, MARIO', 22270.0), ('BOUZA PADRON, ADRIAN', 22511.0))"
50_Braza_masc
Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
1,"CONDE VARELA, DAVID",3146,"SUAREZ FERNÁNDEZ, SANTIAGO",3216,10.64,89.9753086419753,6,"(('PÉREZ LORENZO, MANUEL', 2911.0), ('ALVES RIVAS, CARLOS', 3483.0))","(('GANDARA DIEZ, ADRIAN', 3047.0), ('BOUZA PADRON, ADRIAN', 3200.0))"
2,"CONDE VARELA, DAVID",3146,"PONTON RODRIGUEZ, JUAN",3364,10.04,83.4567901234568,6,"(('PÉREZ LORENZO, MANUEL', 2911.0), ('ALVES RIVAS, CARLOS', 3483.0))","(('GANDARA DIEZ, ADRIAN', 3047.0), ('BOUZA PADRON, ADRIAN', 3200.0))"
3,"SUAREZ FERNÁNDEZ, SANTIAGO",3216,"PONTON RODRIGUEZ, JUAN",3364,9.697777777777778,83.4567901234568,5,"(('PÉREZ LORENZO, MANUEL', 2911.0), ('ALVES RIVAS, CARLOS', 3483.0))","(('GANDARA DIEZ, ADRIAN', 3047.0), ('BOUZA PADRON, ADRIAN', 3200.0))"
4,"CONDE VARELA, DAVID",3146,"MARTINEZ ARGIZ, DAVID",3528,9.44,81.62962962962963,5,"(('PÉREZ LORENZO, MANUEL', 2911.0), ('ALVES RIVAS, CARLOS', 3483.0))","(('GANDARA DIEZ, ADRIAN', 3047.0), ('BOUZA PADRON, ADRIAN', 3200.0))"
5,"SUAREZ FERNÁNDEZ, SANTIAGO",3216,"MARTINEZ ARGIZ, DAVID",3528,9.097777777777777,81.33333333333333,4,"(('PÉREZ LORENZO, MANUEL', 2911.0), ('ALVES RIVAS, CARLOS', 3483.0))","(('GANDARA DIEZ, ADRIAN', 3047.0), ('BOUZA PADRON, ADRIAN', 3200.0))"
6,"CONDE VARELA, DAVID",3146,"REGUEIRA MOURE, ANDER",3978,8.24,78.2716049382716,5,"(('PÉREZ LORENZO, MANUEL', 2911.0), ('ALVES RIVAS, CARLOS', 3483.0))","(('GANDARA DIEZ, ADRIAN', 3047.0), ('BOUZA PADRON, ADRIAN', 3200.0))"
7,"PONTON RODRIGUEZ, JUAN",3364,"MARTINEZ ARGIZ, DAVID",3528,8.177777777777777,80.14814814814815,4,"(('PÉREZ LORENZO, MANUEL', 2911.0), ('ALVES RIVAS, CARLOS', 3483.0))","(('GANDARA DIEZ, ADRIAN', 3047.0), ('BOUZA PADRON, ADRIAN', 3200.0))"
8,"SUAREZ FERNÁNDEZ, SANTIAGO",3216,"REGUEIRA MOURE, ANDER",3978,7.897777777777778,76.74074074074075,4,"(('PÉREZ LORENZO, MANUEL', 2911.0), ('ALVES RIVAS, CARLOS', 3483.0))","(('GANDARA DIEZ, ADRIAN', 3047.0), ('BOUZA PADRON, ADRIAN', 3200.0))"
9,"PONTON RODRIGUEZ, JUAN",3364,"REGUEIRA MOURE, ANDER",3978,6.977777777777778,70.37037037037037,4,"(('PÉREZ LORENZO, MANUEL', 2911.0), ('ALVES RIVAS, CARLOS', 3483.0))","(('GANDARA DIEZ, ADRIAN', 3047.0), ('BOUZA PADRON, ADRIAN', 3200.0))"
10,"MARTINEZ ARGIZ, DAVID",3528,"REGUEIRA MOURE, ANDER",3978,6.262222222222222,45.925925925925924,3,"(('PÉREZ LORENZO, MANUEL', 2911.0), ('ALVES RIVAS, CARLOS', 3483.0))","(('GANDARA DIEZ, ADRIAN', 3047.0), ('BOUZA PADRON, ADRIAN', 3200.0))"
400_Estilos_masc
Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
1,"CONDE VARELA, DAVID",50410,"ARIAS FRANCO, ODEI",51733,6.274074074074074,34.81481481481482,4,"(('PÉREZ LORENZO, MANUEL', 45037.0), ('SANLÉS DIESTE, HUGO', 51640.0))","(('MENDEZ PUGA, MARIO', 41490.0), ('BOUZA PADRON, ADRIAN', 44367.0))"
50_Libre_masc
Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
1,"PONTON RODRIGUEZ, JAVIER",2351,"PONTON RODRIGUEZ, JUAN",2463,11.4,100.0,9,"(('PÉREZ LORENZO, MANUEL', 2452.0), ('TOME SANLES, MANUEL', 2457.0))","(('ALONSO GATO, OSCAR', 2411.0), ('MENDEZ PUGA, MARIO', 2501.0))"
2,"PONTON RODRIGUEZ, JAVIER",2351,"PEREZ TIERRA, ISMAEL",2496,11.4,100.0,9,"(('PÉREZ LORENZO, MANUEL', 2452.0), ('TOME SANLES, MANUEL', 2457.0))","(('ALONSO GATO, OSCAR', 2411.0), ('MENDEZ PUGA, MARIO', 2501.0))"
3,"PONTON RODRIGUEZ, JUAN",2463,"PEREZ TIERRA, ISMAEL",2496,10.297777777777778,84.54320987654322,5,"(('PÉREZ LORENZO, MANUEL', 2452.0), ('TOME SANLES, MANUEL', 2457.0))","(('ALONSO GATO, OSCAR', 2411.0), ('MENDEZ PUGA, MARIO', 2501.0))"
4,"PONTON RODRIGUEZ, JAVIER",2351,"BALLESTER IBAÑEZ, EDGAR",2593,9.8,93.08641975308643,8,"(('PÉREZ LORENZO, MANUEL', 2452.0), ('TOME SANLES, MANUEL', 2457.0))","(('ALONSO GATO, OSCAR', 2411.0), ('MENDEZ PUGA, MARIO', 2501.0))"
5,"PONTON RODRIGUEZ, JAVIER",2351,"CONDE VARELA, DAVID",2598,9.8,93.08641975308643,8,"(('PÉREZ LORENZO, MANUEL', 2452.0), ('TOME SANLES, MANUEL', 2457.0))","(('ALONSO GATO, OSCAR', 2411.0), ('MENDEZ PUGA, MARIO', 2501.0))"
6,"PONTON RODRIGUEZ, JAVIER",2351,"ARIAS FRANCO, ODEI",2611,9.4,88.44444444444444,8,"(('PÉREZ LORENZO, MANUEL', 2452.0), ('TOME SANLES, MANUEL', 2457.0))","(('ALONSO GATO, OSCAR', 2411.0), ('MENDEZ PUGA, MARIO', 2501.0))"
7,"PONTON RODRIGUEZ, JAVIER",2351,"LOPEZ RODRIGUEZ, HUGO",2654,9.0,86.86419753086419,8,"(('PÉREZ LORENZO, MANUEL', 2452.0), ('TOME SANLES, MANUEL', 2457.0))","(('ALONSO GATO, OSCAR', 2411.0), ('MENDEZ PUGA, MARIO', 2501.0))"
8,"PONTON RODRIGUEZ, JUAN",2463,"BALLESTER IBAÑEZ, EDGAR",2593,8.697777777777778,64.29629629629629,4,"(('PÉREZ LORENZO, MANUEL', 2452.0), ('TOME SANLES, MANUEL', 2457.0))","(('ALONSO GATO, OSCAR', 2411.0), ('MENDEZ PUGA, MARIO', 2501.0))"
9,"PONTON RODRIGUEZ, JUAN",2463,"CONDE VARELA, DAVID",2598,8.697777777777778,64.29629629629629,4,"(('PÉREZ LORENZO, MANUEL', 2452.0), ('TOME SANLES, MANUEL', 2457.0))","(('ALONSO GATO, OSCAR', 2411.0), ('MENDEZ PUGA, MARIO', 2501.0))"
10,"PEREZ TIERRA, ISMAEL",2496,"BALLESTER IBAÑEZ, EDGAR",2593,8.697777777777778,64.29629629629629,4,"(('PÉREZ LORENZO, MANUEL', 2452.0), ('TOME SANLES, MANUEL', 2457.0))","(('ALONSO GATO, OSCAR', 2411.0), ('MENDEZ PUGA, MARIO', 2501.0))"
200_Mari_masc
Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
200_esp_masc
Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
1,"CONDE VARELA, DAVID",21906,"ARIAS FRANCO, ODEI",21919,6.2,0.0,3,"(('DAVILA LUSTRES, MANUEL', 5954.0), ('TOME SANLES, MANUEL', 10519.0))","(('MENDEZ PUGA, MARIO', 20957.0), ('CASTRO GARCIA, PEDRO', 21515.0))"
2,"CONDE VARELA, DAVID",21906,"PONTON RODRIGUEZ, JUAN",22565,5.6,0.0,3,"(('DAVILA LUSTRES, MANUEL', 5954.0), ('TOME SANLES, MANUEL', 10519.0))","(('MENDEZ PUGA, MARIO', 20957.0), ('CASTRO GARCIA, PEDRO', 21515.0))"
3,"ARIAS FRANCO, ODEI",21919,"PONTON RODRIGUEZ, JUAN",22565,5.6,0.0,3,"(('DAVILA LUSTRES, MANUEL', 5954.0), ('TOME SANLES, MANUEL', 10519.0))","(('MENDEZ PUGA, MARIO', 20957.0), ('CASTRO GARCIA, PEDRO', 21515.0))"
